지점,지점명,source
90,속초,"asos_daily,asos_hourly"
93,북춘천,"asos_daily,asos_hourly"
95,철원,"asos_daily,asos_hourly"
100,대관령,"asos_daily,asos_hourly"
101,춘천,"asos_daily,asos_hourly"
104,북강릉,"asos_daily,asos_hourly"
105,강릉,"asos_daily,asos_hourly"
106,동해,"asos_daily,asos_hourly"
114,원주,"asos_daily,asos_hourly"
121,영월,"asos_daily,asos_hourly"
211,인제,"asos_daily,asos_hourly"
212,홍천,"asos_daily,asos_hourly"
216,태백,"asos_daily,asos_hourly"
217,정선군,"asos_daily,asos_hourly"
310,궁촌,aws_hourly
318,평창용산,aws_hourly
320,향로봉,aws_hourly
321,원통,aws_hourly
322,상서,aws_hourly
323,마현,aws_hourly
332,등봉,aws_hourly
333,동해심곡,aws_hourly
334,중앙,aws_hourly
335,강림,aws_hourly
336,매일,aws_hourly
337,우항,aws_hourly
338,둔내,aws_hourly
339,서원,aws_hourly
340,공근,aws_hourly
345,학성,aws_hourly
346,강릉구정,aws_hourly
347,귀래,aws_hourly
348,하조대,aws_hourly
349,시동,aws_hourly
350,조침령,aws_hourly
497,삽당령,aws_hourly
498,구룡령,aws_hourly
517,간성,aws_hourly
518,해안,aws_hourly
519,사내,aws_hourly
520,설악동,aws_hourly
522,화촌,aws_hourly
523,주문진,aws_hourly
524,경포,aws_hourly
525,봉평,aws_hourly
526,평창,aws_hourly
527,신동,aws_hourly
529,원덕,aws_hourly
535,서석,aws_hourly
536,횡성,aws_hourly
537,임계,aws_hourly
552,김화,aws_hourly
553,죽정,aws_hourly
554,미시령,aws_hourly
555,화천,aws_hourly
556,양구,aws_hourly
557,기린,aws_hourly
558,팔봉,aws_hourly
559,내면,aws_hourly
560,진부,aws_hourly
561,청일,aws_hourly
563,북평,aws_hourly
566,연곡,aws_hourly
579,하장,aws_hourly
580,옥계,aws_hourly
581,상동,aws_hourly
582,신림,aws_hourly
583,안흥,aws_hourly
585,신남,aws_hourly
586,북산,aws_hourly
587,방산,aws_hourly
588,남산,aws_hourly
591,치악산,aws_hourly
592,부론,aws_hourly
593,양양영덕,aws_hourly
594,서화,aws_hourly
595,진부령,aws_hourly
596,오색,aws_hourly
597,대화,aws_hourly
650,양지,aws_hourly
651,외촌,aws_hourly
660,면온,aws_hourly
661,현내,aws_hourly
670,양양,aws_hourly
671,속초조양,aws_hourly
674,사북,aws_hourly
675,남이섬,aws_hourly
677,달방댐,aws_hourly
678,강릉성산,aws_hourly
679,강릉왕산,aws_hourly
680,평화,aws_hourly
681,간동,aws_hourly
682,임남,aws_hourly
695,광덕산,aws_hourly
696,신기,aws_hourly
874,동송,aws_hourly
875,설악산,aws_hourly
876,삼척,aws_hourly
877,문막,aws_hourly
878,도계,aws_hourly
970,철원장흥,aws_hourly
978,춘천신북,aws_hourly
