발표시간,지역,발효시각,해당지역,내용
2025-03-01 11:00,강원특별자치도,(1) 건조주의보 해제 : 2025년 03월 01일 11시 00분,(1) 건조주의보 해제 : 강원도(영월. 평창평지. 정선평지. 횡성. 원주. 철원. 화천. 홍천평지. 춘천. 양구평지. 인제평지),
2025-03-02 06:00,강원특별자치도,(1) 건조경보 해제 : 2025년 03월 02일 06시 00분 / (2) 건조주의보 해제 : 2025년 03월 02일 06시 00분,(1) 건조경보 해제 : 강원도(강릉평지. 동해평지. 삼척평지. 속초평지. 고성평지. 양양평지. 강원북부산지. 강원중부산지. 강원남부산지) / (2) 건조주의보 해제 : 강원도(태백),
2025-03-02 13:00,강원특별자치도,(1) 풍랑주의보 발표 : 2025년 03월 02일 15시 00분 / (2) 풍랑주의보 발표 : 2025년 03월 02일 15시 00분,(1) 풍랑주의보 발표 : 동해중부안쪽먼바다 / (2) 풍랑주의보 발표 : 동해중부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 7일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 7일 늦은 오후(15시~18시)
2025-03-02 14:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 02일 15시 00분 / (2) 대설주의보 발표 : 2025년 03월 02일 16시 00분 / (3) 풍랑주의보 발표 : 2025년 03월 02일 16시 30분,(1) 대설주의보 발표 : 강원도(강원북부산지. 강원중부산지) / (2) 대설주의보 발표 : 강원도(태백. 강원남부산지) / (3) 풍랑주의보 발표 : 동해중부앞바다,(3) 풍랑주의보 발표 /   o 해제 예고: 5일 밤(21시~24시)
2025-03-02 17:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 02일 17시 00분 / (2) 대설경보 변경 : 2025년 03월 02일 17시 00분,(1) 대설주의보 발표 : 강원도(평창평지) / (2) 대설경보 변경 : 강원도(강원북부산지),
2025-03-02 18:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 02일 19시 00분 / (2) 대설경보 변경 : 2025년 03월 02일 19시 00분 / (3) 대설주의보 발표 : 2025년 03월 02일 20시 00분,(1) 대설주의보 발표 : 강원도(강릉평지. 속초평지. 고성평지. 양양평지. 정선평지. 철원. 화천. 양구평지. 인제평지) / (2) 대설경보 변경 : 강원도(강원중부산지) / (3) 대설주의보 발표 : 강원도(횡성. 홍천평지. 춘천),
2025-03-02 18:30,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 02일 19시 30분,(1) 대설주의보 발표 : 강원도(동해평지. 삼척평지),
2025-03-02 23:30,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 02일 23시 30분,(1) 대설경보 변경 : 강원도(속초평지. 고성평지),
2025-03-03 01:00,강원특별자치도,(1) 대설주의보 발표 : 2025년 03월 03일 01시 00분 / (2) 대설경보 변경 : 2025년 03월 03일 01시 00분,(1) 대설주의보 발표 : 강원도(영월. 원주) / (2) 대설경보 변경 : 강원도(강릉평지. 양양평지. 철원. 춘천. 양구평지. 인제평지),
2025-03-03 02:00,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 03일 02시 00분,(1) 대설경보 변경 : 강원도(태백. 평창평지. 홍천평지. 강원남부산지),
2025-03-03 03:30,강원특별자치도,(1) 대설경보 변경 : 2025년 03월 03일 03시 30분,(1) 대설경보 변경 : 강원도(동해평지. 삼척평지),
2025-03-03 05:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 03일 05시 00분 / (2) 풍랑경보 변경 : 2025년 03월 03일 07시 00분 / (3) 풍랑경보 변경 : 2025년 03월 03일 07시 00분,(1) 대설경보 해제 : 강원도(철원. 화천. 양구평지. 인제평지) / (2) 풍랑경보 변경 : 동해중부안쪽먼바다 / (3) 풍랑경보 변경 : 동해중부바깥먼바다,(2) 풍랑경보 변경 /   o 해제 예고: 7일 새벽(03시~06시) / (3) 풍랑경보 변경 /   o 해제 예고: 7일 늦은 오후(15시~18시)
2025-03-03 07:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 03일 07시 00분,(1) 대설경보 해제 : 강원도(홍천평지. 춘천),
2025-03-03 09:00,강원특별자치도,(1) 대설경보 해제 : 2025년 03월 03일 09시 00분 / (2) 대설주의보 해제 : 2025년 03월 03일 09시 00분 / (3) 대설주의보 변경 : 2025년 03월 03일 09시 00분,(1) 대설경보 해제 : 강원도(강릉평지. 속초평지. 고성평지. 양양평지) / (2) 대설주의보 해제 : 강원도(횡성. 원주) / (3) 대설주의보 변경 : 강원도(동해평지. 태백. 삼척평지. 평창평지. 강원북부산지. 강원중부산지. 강원남부산지),
2025-03-03 09:30,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 03일 09시 30분,(1) 대설주의보 해제 : 강원도(영월. 평창평지. 정선평지. 강원북부산지),
2025-03-03 10:30,강원특별자치도,(1) 대설주의보 해제 : 2025년 03월 03일 10시 30분,(1) 대설주의보 해제 : 강원도(동해평지. 태백. 삼척평지. 강원중부산지. 강원남부산지),
