
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))

310,2023-11-01,,궁촌,강원특별자치도 삼척시 근덕면 궁촌리,강릉(구 105),37.3247,129.2647,14.07,,,10.000,
310,2015-07-13,2023-11-01,궁촌,강원특별자치도 삼척시 근덕면 궁촌리,강릉(구 105),37.3247,129.2647,14.07,,,,
310,2011-12-29,2015-07-13,궁촌,강원도 삼척시 근덕면 궁촌리,동해기상대(106),37.3246,129.265,14,,,,
310,2005-06-29,2011-12-29,묵호,강원도 동해시 묵호진동,동해기상대(106),37.5546,129.1185,70.66,,,,
318,2023-09-09,,평창용산,(산지)강원특별자치도 평창군 대관령면 용산리,강릉(구 105),37.6533,128.6821,852,,,10.000,
318,2021-07-17,2023-09-09,용평,(산지)강원특별자치도 평창군 대관령면 용산리,강릉(구 105),37.6434,128.6705,769.81,,,,
318,2015-07-13,2021-07-17,용평,(산지)강원도 평창군 대관령면 용산리,강릉(구 105),37.6434,128.6705,769.81,,,,
318,2011-10-18,2015-07-13,용평,(산지)강원도 평창군 대관령면 용산리,대관령기상대(100),37.6434,128.6704,770,,,,
318,2001-10-25,2011-10-18,용평,(산지)강원도 평창군 대관령면 용산리,대관령기상대(100),37.6437,128.6794,761.92,,,,
320,2021-07-23,,향로봉,(산지)강원특별자치도 고성군 수동면 상원리,강릉(구 105),38.331,128.3138,1263.88,,,10.000,
320,2020-10-23,2021-07-23,향로봉,(산지)강원도 인제군 북면 용대리,강릉(구 105),38.331,128.3138,1263.88,,,,
320,2017-01-13,2020-10-23,향로봉,(산지)강원도 인제군 북면 용대리,강릉(구 105),38.331,128.3137,1262.62,,,,
320,2015-07-13,2017-01-13,향로봉,(산지)강원도 인제군 북면 용대리,강릉(구 105),38.331,128.3137,1262.62,,,,
320,2008-11-14,2015-07-13,향로봉,(산지)강원도 인제군 북면 용대리,속초기상대(90),38.331,128.3137,1262.62,,,,
320,2001-10-25,2008-11-14,향로봉,(산지)강원도 인제군 북면 용대리,속초기상대(90),38.325,128.3208,1267,,,,
321,2021-07-20,,원통,(산지)강원특별자치도 인제군 북면 원통리,강릉(구 105),38.1147,128.1963,253.72,,,10.000,
