지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
90,속초,2025-03-01,7.3,3.1,2333,13,1344,,,,,,,6.2,20,1552,3.5,20,1554,1.4,1202,250,-.6,37,924,57.9,5.9,1014.9,1019.2,844,1014.5,1455,1017.1,11.4,4.7,1200,2.38,12,,,,,,5.3,1.3,5.5,-2.6,,,,,,,,,,1.9,2.7,,,
90,속초,2025-03-02,4.7,-.1,2252,9.5,900,,,,,,16,9.2,50,1530,5.6,20,1535,2.8,2393,50,-.4,35,238,73.4,6,1020.2,1027.1,1903,1014.6,223,1022.4,11.4,1.2,900,.72,2.35,,,,,,8.6,6.3,3.1,-1.8,,,,,,,,,,.6,.9,,,
90,속초,2025-03-03,1.4,.1,5,2.8,1427,,,,,,10.5,11.7,70,354,7.6,50,357,4.4,3786,50,-4.3,49,1547,66.6,4.5,1027.3,1031.6,1224,1025.5,40,1029.5,11.4,1.6,1400,1.65,8.97,,,,,,9.9,8.8,.3,.3,,,,,,,,,,1.6,2.3,,,
90,속초,2025-03-04,2.4,1.1,1503,3.5,1118,,,,,,6.1,11.9,70,1908,6.5,50,1914,4.5,3917,50,-2.3,54,839,72.4,5.2,1024.6,1030.9,125,1023.7,1905,1026.8,11.5,0,1400,.41,2.61,,,,,,10,9.8,.2,.2,,,,,,,,,,.6,.9,,,
90,속초,2025-03-05,1.4,-1.2,2358,3.9,1237,,,,,,5.8,9.4,50,47,6.2,20,103,2.1,1849,320,-.3,75,1243,88.6,6,1022.5,1025.8,1126,1023.3,1606,1024.7,11.5,0,1300,1.34,7.65,,,,,,7.8,6.3,.2,.1,,,,,,,,,,.8,1.2,,,
90,속초,2025-03-06,1.9,-1.5,655,5.8,1116,,,,,,,5,20,1323,3.4,20,1234,1.9,1609,270,-1.9,57,1108,76.3,5.3,1024.5,1028.1,2351,1025,4,1026.7,11.6,8,1200,2.82,17.64,,,,,,4.1,2,3.1,-2.7,,,,,,,,,,1.9,2.7,,,
90,속초,2025-03-07,2.9,-1.3,309,6.7,1357,,,,,,,5.1,20,1143,3.7,20,1218,1.7,1453,270,-1.1,59,940,75.1,5.7,1026.3,1030.5,834,1026.9,2348,1028.5,11.6,5.2,1100,2.57,13.06,,,,,,6.4,4,2.5,-3.2,,,,,,,,,,1.3,1.9,,,
90,속초,2025-03-08,4,1.1,419,8.1,1402,,,,,,,4.8,50,1214,3.3,360,1156,1.5,1279,250,.6,66,1449,79.6,6.4,1022.8,1026.9,1,1023.3,1532,1025,11.6,6.7,1400,2.34,15.12,,,,,,4.8,1.4,5.6,-2,,,,,,,,,,1.9,2.7,,,
90,속초,2025-03-09,6.2,2,17,11,1137,,,,,,,5.6,290,253,3.7,270,310,2.1,1784,270,-2.1,35,1211,56.5,5.3,1026.9,1031.1,1106,1026,1,1029.1,11.7,10.5,1200,2.85,19.5,,,,,,0,0,5,-2.1,,,,,,,,,,2.6,3.7,,,
90,속초,2025-03-10,7.5,.6,235,12.1,1532,,,,,,,7.8,180,1738,5.3,140,1544,2,1762,90,.8,21,2340,65.1,6.7,1022.1,1028.4,1,1020.5,2354,1024.3,11.7,10.5,1200,2.83,19.04,,,,,,0,0,5.6,-2.9,,,,,,,,,,2.8,3.9,,,
